,id,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont,chip,iter
23,3,3,Gabriel,DEF,2,Arsenal,0.0,0.0,4.22,85,1,1,-1,0,0,0,0,1,4.22,,1
19,199,3,Eze,MID,3,Crystal Palace,0.0,0.0,3.9,77,1,1,-1,0,0,0,0,1,3.9,,1
20,181,3,Nkunku,MID,3,Chelsea,0.0,0.0,4.54,66,1,1,-1,0,0,0,0,1,4.54,,1
17,366,3,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.88,88,1,1,-1,0,0,0,0,1,4.88,,1
16,328,3,M.Salah,MID,3,Liverpool,0.0,0.0,5.16,79,1,1,-1,0,0,0,0,1,5.16,,1
15,17,3,Saka,MID,3,Arsenal,0.0,0.0,6.87,85,1,1,-1,1,0,0,0,2,13.74,,1
24,251,3,Muniz,FWD,4,Fulham,0.0,0.0,3.88,72,1,1,-1,0,0,0,0,1,3.88,,1
18,401,3,Isak,FWD,4,Newcastle,0.0,0.0,5.62,87,1,1,-1,0,1,0,0,1,5.62,,1
29,109,3,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.09,2,1,0,0,0,0,0,0,0,0.0,,1
22,129,3,João Pedro,FWD,4,Brighton,0.0,0.0,2.94,69,1,0,1,0,0,0,0,0,0.0,,1
25,495,3,Pedro Porro,DEF,2,Spurs,0.0,0.0,2.44,73,1,0,2,0,0,0,0,0,0.0,,1
27,120,3,Dunk,DEF,2,Brighton,0.0,0.0,1.41,89,1,0,3,0,0,0,0,0,0.0,,1
41,201,4,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.62,90,1,1,-1,0,0,0,0,1,3.62,,1
38,3,4,Gabriel,DEF,2,Arsenal,0.0,0.0,3.18,84,1,1,-1,0,0,0,0,1,3.18,,1
42,120,4,Dunk,DEF,2,Brighton,0.0,0.0,4.12,87,1,1,-1,0,0,0,0,1,4.12,,1
36,311,4,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,4.86,78,1,1,-1,0,0,0,0,1,4.86,,1
35,181,4,Nkunku,MID,3,Chelsea,0.0,0.0,4.29,66,1,1,-1,0,0,0,0,1,4.29,,1
30,17,4,Saka,MID,3,Arsenal,0.0,0.0,5.22,84,1,1,-1,0,0,0,0,1,5.22,,1
34,199,4,Eze,MID,3,Crystal Palace,0.0,0.0,5.35,75,1,1,-1,0,0,0,0,1,5.35,,1
32,366,4,B.Fernandes,MID,3,Man Utd,0.0,0.0,5.42,86,1,1,-1,0,1,0,0,1,5.42,,1
31,328,4,M.Salah,MID,3,Liverpool,0.0,0.0,6.45,74,1,1,-1,1,0,0,0,2,12.9,,1
33,401,4,Isak,FWD,4,Newcastle,0.0,0.0,4.88,82,1,1,-1,0,0,0,0,1,4.88,,1
37,129,4,João Pedro,FWD,4,Brighton,0.0,0.0,5.04,66,1,1,-1,0,0,0,0,1,5.04,,1
44,109,4,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.09,3,1,0,0,0,0,0,0,0,0.0,,1
39,251,4,Muniz,FWD,4,Fulham,0.0,0.0,3.71,70,1,0,1,0,0,0,0,0,0.0,,1
40,495,4,Pedro Porro,DEF,2,Spurs,0.0,0.0,2.59,85,1,0,2,0,0,0,0,0,0.0,,1
43,558,4,Mosquera,DEF,2,Wolves,0.0,0.0,2.37,82,1,0,3,0,0,0,0,0,0.0,,1
57,201,5,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.24,90,1,1,-1,0,0,0,0,1,3.24,,1
58,120,5,Dunk,DEF,2,Brighton,0.0,0.0,3.69,86,1,1,-1,0,0,0,0,1,3.69,,1
56,495,5,Pedro Porro,DEF,2,Spurs,0.0,0.0,4.36,81,1,1,-1,0,0,0,0,1,4.36,,1
51,311,5,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,4.66,78,1,1,-1,0,1,0,0,1,4.66,,1
45,17,5,Saka,MID,3,Arsenal,0.0,0.0,4.18,82,1,1,-1,0,0,0,0,1,4.18,,1
49,199,5,Eze,MID,3,Crystal Palace,0.0,0.0,4.43,75,1,1,-1,0,0,0,0,1,4.43,,1
47,366,5,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.44,85,1,1,-1,0,0,0,0,1,4.44,,1
46,328,5,M.Salah,MID,3,Liverpool,0.0,0.0,6.56,73,1,1,-1,1,0,0,0,2,13.12,,1
52,129,5,João Pedro,FWD,4,Brighton,0.0,0.0,4.27,64,1,1,-1,0,0,0,0,1,4.27,,1
48,401,5,Isak,FWD,4,Newcastle,0.0,0.0,4.57,79,1,1,-1,0,0,0,0,1,4.57,,1
53,453,5,Armstrong,FWD,4,Southampton,5.5,0.0,4.6,72,1,1,-1,0,0,1,0,1,4.6,,1
60,109,5,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.07,2,1,0,0,0,0,0,0,0,0.0,,1
50,181,5,Nkunku,MID,3,Chelsea,0.0,0.0,3.96,65,1,0,1,0,0,0,0,0,0.0,,1
54,3,5,Gabriel,DEF,2,Arsenal,0.0,0.0,2.57,83,1,0,2,0,0,0,0,0,0.0,,1
59,558,5,Mosquera,DEF,2,Wolves,0.0,0.0,1.86,81,1,0,3,0,0,0,0,0,0.0,,1
55,251,5,Muniz,FWD,4,Fulham,0.0,6.0,3.59,69,0,0,-1,0,0,0,1,0,0.0,,1
75,201,6,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.34,87,1,1,-1,0,0,0,0,1,3.34,,1
74,495,6,Pedro Porro,DEF,2,Spurs,0.0,0.0,2.72,82,1,1,-1,0,0,0,0,1,2.72,,1
70,311,6,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,4.06,77,1,1,-1,0,0,0,0,1,4.06,,1
73,3,6,Gabriel,DEF,2,Arsenal,0.0,0.0,4.57,78,1,1,-1,0,0,0,0,1,4.57,,1
69,181,6,Nkunku,MID,3,Chelsea,0.0,0.0,4.55,64,1,1,-1,0,0,0,0,1,4.55,,1
64,366,6,B.Fernandes,MID,3,Man Utd,0.0,0.0,5.09,84,1,1,-1,0,0,0,0,1,5.09,,1
65,13,6,Ødegaard,MID,3,Arsenal,8.5,0.0,5.93,82,1,1,-1,0,0,1,0,1,5.93,,1
62,182,6,Palmer,MID,3,Chelsea,10.5,0.0,6.49,82,1,1,-1,0,1,1,0,1,6.49,,1
61,17,6,Saka,MID,3,Arsenal,0.0,0.0,7.56,81,1,1,-1,1,0,0,0,2,15.12,,1
72,453,6,Armstrong,FWD,4,Southampton,0.0,0.0,3.58,72,1,1,-1,0,0,0,0,1,3.58,,1
66,58,6,Watkins,FWD,4,Aston Villa,9.0,0.0,5.2,84,1,1,-1,0,0,1,0,1,5.2,,1
78,109,6,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.11,3,1,0,0,0,0,0,0,0,0.0,,1
71,129,6,João Pedro,FWD,4,Brighton,0.0,0.0,3.3,65,1,0,1,0,0,0,0,0,0.0,,1
76,120,6,Dunk,DEF,2,Brighton,0.0,0.0,1.8,84,1,0,2,0,0,0,0,0,0.0,,1
77,558,6,Mosquera,DEF,2,Wolves,0.0,0.0,1.74,78,1,0,3,0,0,0,0,0,0.0,,1
68,199,6,Eze,MID,3,Crystal Palace,0.0,7.0,4.17,73,0,0,-1,0,0,0,1,0,0.0,,1
63,328,6,M.Salah,MID,3,Liverpool,0.0,12.5,5.29,72,0,0,-1,0,0,0,1,0,0.0,,1
67,401,6,Isak,FWD,4,Newcastle,0.0,8.5,3.73,76,0,0,-1,0,0,0,1,0,0.0,,1
90,201,7,Henderson,GKP,1,Crystal Palace,0.0,0.0,2.91,86,1,1,-1,0,0,0,0,1,2.91,,1
89,495,7,Pedro Porro,DEF,2,Spurs,0.0,0.0,3.04,82,1,1,-1,0,0,0,0,1,3.04,,1
85,311,7,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,3.49,77,1,1,-1,0,0,0,0,1,3.49,,1
88,3,7,Gabriel,DEF,2,Arsenal,0.0,0.0,4.56,78,1,1,-1,0,0,0,0,1,4.56,,1
81,366,7,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.27,84,1,1,-1,0,0,0,0,1,4.27,,1
84,181,7,Nkunku,MID,3,Chelsea,0.0,0.0,4.72,63,1,1,-1,0,0,0,0,1,4.72,,1
82,13,7,Ødegaard,MID,3,Arsenal,0.0,0.0,6.16,83,1,1,-1,0,0,0,0,1,6.16,,1
80,182,7,Palmer,MID,3,Chelsea,0.0,0.0,6.53,79,1,1,-1,0,1,0,0,1,6.53,,1
79,17,7,Saka,MID,3,Arsenal,0.0,0.0,7.56,79,1,1,-1,1,0,0,0,2,15.12,,1
86,129,7,João Pedro,FWD,4,Brighton,0.0,0.0,3.85,64,1,1,-1,0,0,0,0,1,3.85,,1
83,58,7,Watkins,FWD,4,Aston Villa,0.0,0.0,4.97,86,1,1,-1,0,0,0,0,1,4.97,,1
93,109,7,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.1,2,1,0,0,0,0,0,0,0,0.0,,1
91,120,7,Dunk,DEF,2,Brighton,0.0,0.0,2.62,84,1,0,1,0,0,0,0,0,0.0,,1
87,453,7,Armstrong,FWD,4,Southampton,0.0,0.0,2.54,69,1,0,2,0,0,0,0,0,0.0,,1
92,558,7,Mosquera,DEF,2,Wolves,0.0,0.0,2.35,77,1,0,3,0,0,0,0,0,0.0,,1
105,201,8,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.32,87,1,1,-1,0,0,0,0,1,3.32,,1
100,311,8,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,3.53,77,1,1,-1,0,0,0,0,1,3.53,,1
103,3,8,Gabriel,DEF,2,Arsenal,0.0,0.0,3.72,78,1,1,-1,0,0,0,0,1,3.72,,1
104,495,8,Pedro Porro,DEF,2,Spurs,0.0,0.0,3.86,79,1,1,-1,0,0,0,0,1,3.86,,1
95,182,8,Palmer,MID,3,Chelsea,0.0,0.0,4.46,80,1,1,-1,0,0,0,0,1,4.46,,1
97,13,8,Ødegaard,MID,3,Arsenal,0.0,0.0,4.89,83,1,1,-1,0,0,0,0,1,4.89,,1
96,366,8,B.Fernandes,MID,3,Man Utd,0.0,0.0,5.81,83,1,1,-1,0,1,0,0,1,5.81,,1
94,17,8,Saka,MID,3,Arsenal,0.0,0.0,5.82,80,1,1,-1,1,0,0,0,2,11.64,,1
101,129,8,João Pedro,FWD,4,Brighton,0.0,0.0,3.31,61,1,1,-1,0,0,0,0,1,3.31,,1
102,453,8,Armstrong,FWD,4,Southampton,0.0,0.0,4.15,67,1,1,-1,0,0,0,0,1,4.15,,1
98,58,8,Watkins,FWD,4,Aston Villa,0.0,0.0,4.49,85,1,1,-1,0,0,0,0,1,4.49,,1
108,109,8,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.13,4,1,0,0,0,0,0,0,0,0.0,,1
99,181,8,Nkunku,MID,3,Chelsea,0.0,0.0,3.29,63,1,0,1,0,0,0,0,0,0.0,,1
106,120,8,Dunk,DEF,2,Brighton,0.0,0.0,2.05,83,1,0,2,0,0,0,0,0,0.0,,1
107,558,8,Mosquera,DEF,2,Wolves,0.0,0.0,1.58,79,1,0,3,0,0,0,0,0,0.0,,1
120,201,9,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.06,87,1,1,-1,0,0,0,0,1,3.06,,1
118,3,9,Gabriel,DEF,2,Arsenal,0.0,0.0,3.07,77,1,1,-1,0,0,0,0,1,3.07,,1
119,495,9,Pedro Porro,DEF,2,Spurs,0.0,0.0,3.08,79,1,1,-1,0,0,0,0,1,3.08,,1
121,120,9,Dunk,DEF,2,Brighton,0.0,0.0,3.73,83,1,1,-1,0,0,0,0,1,3.73,,1
114,181,9,Nkunku,MID,3,Chelsea,0.0,0.0,4.24,61,1,1,-1,0,0,0,0,1,4.24,,1
111,366,9,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.52,83,1,1,-1,0,0,0,0,1,4.52,,1
112,13,9,Ødegaard,MID,3,Arsenal,0.0,0.0,4.58,83,1,1,-1,0,0,0,0,1,4.58,,1
109,17,9,Saka,MID,3,Arsenal,0.0,0.0,5.61,80,1,1,-1,0,1,0,0,1,5.61,,1
110,182,9,Palmer,MID,3,Chelsea,0.0,0.0,6.11,79,1,1,-1,1,0,0,0,2,12.22,,1
116,129,9,João Pedro,FWD,4,Brighton,0.0,0.0,4.03,61,1,1,-1,0,0,0,0,1,4.03,,1
113,58,9,Watkins,FWD,4,Aston Villa,0.0,0.0,5.51,84,1,1,-1,0,0,0,0,1,5.51,,1
123,109,9,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.14,3,1,0,0,0,0,0,0,0,0.0,,1
117,453,9,Armstrong,FWD,4,Southampton,0.0,0.0,2.52,67,1,0,1,0,0,0,0,0,0.0,,1
115,311,9,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,2.1,75,1,0,2,0,0,0,0,0,0.0,,1
122,558,9,Mosquera,DEF,2,Wolves,0.0,0.0,1.88,77,1,0,3,0,0,0,0,0,0.0,,1
136,201,10,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.36,88,1,1,-1,0,0,0,0,1,3.36,,1
134,3,10,Gabriel,DEF,2,Arsenal,0.0,0.0,3.06,77,1,1,-1,0,0,0,0,1,3.06,,1
135,495,10,Pedro Porro,DEF,2,Spurs,0.0,0.0,3.59,81,1,1,-1,0,0,0,0,1,3.59,,1
131,311,10,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,4.04,74,1,1,-1,0,0,0,0,1,4.04,,1
130,181,10,Nkunku,MID,3,Chelsea,0.0,0.0,3.43,60,1,1,-1,0,0,0,0,1,3.43,,1
128,13,10,Ødegaard,MID,3,Arsenal,0.0,0.0,4.44,82,1,1,-1,0,0,0,0,1,4.44,,1
126,366,10,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.96,84,1,1,-1,0,0,0,0,1,4.96,,1
124,17,10,Saka,MID,3,Arsenal,0.0,0.0,5.16,79,1,1,-1,0,1,0,0,1,5.16,,1
127,503,10,Son,MID,3,Spurs,10.0,0.0,5.2,81,1,1,-1,1,0,1,0,2,10.4,,1
133,453,10,Armstrong,FWD,4,Southampton,0.0,0.0,3.85,67,1,1,-1,0,0,0,0,1,3.85,,1
129,58,10,Watkins,FWD,4,Aston Villa,0.0,0.0,4.11,84,1,1,-1,0,0,0,0,1,4.11,,1
139,109,10,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.14,4,1,0,0,0,0,0,0,0,0.0,,1
132,129,10,João Pedro,FWD,4,Brighton,0.0,0.0,2.98,61,1,0,1,0,0,0,0,0,0.0,,1
138,558,10,Mosquera,DEF,2,Wolves,0.0,0.0,2.59,75,1,0,2,0,0,0,0,0,0.0,,1
137,120,10,Dunk,DEF,2,Brighton,0.0,0.0,1.5,83,1,0,3,0,0,0,0,0,0.0,,1
125,182,10,Palmer,MID,3,Chelsea,0.0,10.5,4.84,79,0,0,-1,0,0,0,1,0,0.0,,1
152,201,11,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.48,87,1,1,-1,0,0,0,0,1,3.48,,1
154,558,11,Mosquera,DEF,2,Wolves,0.0,0.0,3.04,75,1,1,-1,0,0,0,0,1,3.04,,1
147,311,11,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,3.85,76,1,1,-1,0,0,0,0,1,3.85,,1
151,495,11,Pedro Porro,DEF,2,Spurs,0.0,0.0,4.94,82,1,1,-1,0,0,0,0,1,4.94,,1
146,181,11,Nkunku,MID,3,Chelsea,0.0,0.0,3.08,60,1,1,-1,0,0,0,0,1,3.08,,1
143,13,11,Ødegaard,MID,3,Arsenal,0.0,0.0,4.13,82,1,1,-1,0,0,0,0,1,4.13,,1
140,17,11,Saka,MID,3,Arsenal,0.0,0.0,4.86,79,1,1,-1,0,0,0,0,1,4.86,,1
141,366,11,B.Fernandes,MID,3,Man Utd,0.0,0.0,6.36,85,1,1,-1,0,1,0,0,1,6.36,,1
142,503,11,Son,MID,3,Spurs,0.0,0.0,6.55,81,1,1,-1,1,0,0,0,2,13.1,,1
149,453,11,Armstrong,FWD,4,Southampton,0.0,0.0,3.27,67,1,1,-1,0,0,0,0,1,3.27,,1
145,82,11,Solanke,FWD,4,Spurs,7.5,0.0,5.25,71,1,1,-1,0,0,1,0,1,5.25,,1
155,109,11,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.11,3,1,0,0,0,0,0,0,0,0.0,,1
148,129,11,João Pedro,FWD,4,Brighton,0.0,0.0,2.92,61,1,0,1,0,0,0,0,0,0.0,,1
150,3,11,Gabriel,DEF,2,Arsenal,0.0,0.0,2.73,75,1,0,2,0,0,0,0,0,0.0,,1
153,120,11,Dunk,DEF,2,Brighton,0.0,0.0,1.93,83,1,0,3,0,0,0,0,0,0.0,,1
144,58,11,Watkins,FWD,4,Aston Villa,0.0,9.0,3.71,83,0,0,-1,0,0,0,1,0,0.0,,1
168,201,12,Henderson,GKP,1,Crystal Palace,0.0,0.0,2.96,85,1,1,-1,0,0,0,0,1,2.96,,1
169,120,12,Dunk,DEF,2,Brighton,0.0,0.0,2.79,84,1,1,-1,0,0,0,0,1,2.79,,1
166,3,12,Gabriel,DEF,2,Arsenal,0.0,0.0,4.13,74,1,1,-1,0,0,0,0,1,4.13,,1
163,311,12,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,4.17,75,1,1,-1,0,0,0,0,1,4.17,,1
162,181,12,Nkunku,MID,3,Chelsea,0.0,0.0,4.34,63,1,1,-1,0,0,0,0,1,4.34,,1
158,366,12,B.Fernandes,MID,3,Man Utd,0.0,0.0,5.43,85,1,1,-1,0,0,0,0,1,5.43,,1
160,13,12,Ødegaard,MID,3,Arsenal,0.0,0.0,5.52,82,1,1,-1,0,0,0,0,1,5.52,,1
157,182,12,Palmer,MID,3,Chelsea,10.5,0.0,5.99,79,1,1,-1,0,1,1,0,1,5.99,,1
156,17,12,Saka,MID,3,Arsenal,0.0,0.0,6.64,78,1,1,-1,1,0,0,0,2,13.28,,1
165,453,12,Armstrong,FWD,4,Southampton,0.0,0.0,3.24,67,1,1,-1,0,0,0,0,1,3.24,,1
164,129,12,João Pedro,FWD,4,Brighton,0.0,0.0,3.48,61,1,1,-1,0,0,0,0,1,3.48,,1
171,109,12,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.09,2,1,0,0,0,0,0,0,0,0.0,,1
161,82,12,Solanke,FWD,4,Spurs,0.0,0.0,2.9,72,1,0,1,0,0,0,0,0,0.0,,1
170,558,12,Mosquera,DEF,2,Wolves,0.0,0.0,2.23,75,1,0,2,0,0,0,0,0,0.0,,1
167,495,12,Pedro Porro,DEF,2,Spurs,0.0,0.0,1.83,80,1,0,3,0,0,0,0,0,0.0,,1
159,503,12,Son,MID,3,Spurs,0.0,10.0,3.46,81,0,0,-1,0,0,0,1,0,0.0,,1
184,383,13,Onana,GKP,1,Man Utd,5.0,0.0,3.72,91,1,1,-1,0,0,1,0,1,3.72,,1
187,369,13,Dalot,DEF,2,Man Utd,5.0,0.0,3.58,77,1,1,-1,0,0,1,0,1,3.58,,1
188,120,13,Dunk,DEF,2,Brighton,0.0,0.0,3.78,82,1,1,-1,0,0,0,0,1,3.78,,1
185,495,13,Pedro Porro,DEF,2,Spurs,0.0,0.0,4.2,80,1,1,-1,0,0,0,0,1,4.2,,1
179,433,13,Gibbs-White,MID,3,Nott'm Forest,6.5,0.0,4.73,76,1,1,-1,0,0,1,0,1,4.73,,1
172,17,13,Saka,MID,3,Arsenal,0.0,0.0,5.25,78,1,1,-1,0,0,0,0,1,5.25,,1
175,503,13,Son,MID,3,Spurs,10.0,0.0,5.55,80,1,1,-1,0,0,1,0,1,5.55,,1
174,366,13,B.Fernandes,MID,3,Man Utd,0.0,0.0,5.74,83,1,1,-1,0,1,0,0,1,5.74,,1
173,182,13,Palmer,MID,3,Chelsea,0.0,0.0,5.85,79,1,1,-1,1,0,0,0,2,11.7,,1
181,129,13,João Pedro,FWD,4,Brighton,0.0,0.0,4.32,60,1,1,-1,0,0,0,0,1,4.32,,1
177,82,13,Solanke,FWD,4,Spurs,0.0,0.0,4.51,71,1,1,-1,0,0,0,0,1,4.51,,1
186,201,13,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.1,86,1,0,0,0,0,0,0,0,0.0,,1
183,3,13,Gabriel,DEF,2,Arsenal,0.0,0.0,3.35,76,1,0,1,0,0,0,0,0,0.0,,1
182,453,13,Armstrong,FWD,4,Southampton,0.0,0.0,3.12,66,1,0,2,0,0,0,0,0,0.0,,1
189,558,13,Mosquera,DEF,2,Wolves,0.0,0.0,2.7,75,1,0,3,0,0,0,0,0,0.0,,1
190,109,13,Valdimarsson,GKP,1,Brentford,0.0,4.0,0.12,3,0,0,-1,0,0,0,1,0,0.0,,1
180,311,13,Alexander-Arnold,DEF,2,Liverpool,0.0,7.0,2.84,77,0,0,-1,0,0,0,1,0,0.0,,1
178,181,13,Nkunku,MID,3,Chelsea,0.0,6.5,4.0,60,0,0,-1,0,0,0,1,0,0.0,,1
176,13,13,Ødegaard,MID,3,Arsenal,0.0,8.5,4.63,83,0,0,-1,0,0,0,1,0,0.0,,1
