Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts
D,588,Kehrer,4.4,4.4,West Ham,48,1.28,31,1.24,0,0.00,36,2.87,37,1.30,38,1.12,39,1.52,38,1.19,40,1.92
M,589,Matheus,4.8,4.8,Wolves,51,2.12,50,1.96,47,2.16,49,2.13,48,1.95,52,2.30,47,1.97,50,2.31,48,1.83
G,590,Whitworth,4.0,4.0,Crystal Palace,0,0.02,0,0.03,1,0.02,2,0.07,1,0.06,0,0.02,0,0.00,0,0.00,0,0.00
F,591,Ablade,4.5,4.5,Fulham,1,0.06,2,0.14,0,0.00,1,0.07,1,0.09,1,0.08,2,0.08,2,0.13,1,0.17
G,592,H.Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,593,Casemiro,4.9,4.9,Man Utd,80,2.34,77,2.81,0,0.00,72,4.67,72,2.58,73,2.48,70,0.62,72,2.15,70,4.20
F,594,Isak,6.6,6.6,Newcastle,57,2.53,55,3.33,55,3.24,55,6.01,54,3.43,53,3.88,55,3.28,54,3.01,54,3.88
D,595,Zanka,4.0,4.0,Brentford,8,0.28,8,0.50,11,0.39,12,0.55,14,0.46,15,0.48,17,0.62,14,0.35,14,0.57
F,596,Ferguson,4.6,4.6,Brighton,16,1.19,18,2.65,0,0.00,21,3.16,22,1.60,23,1.77,22,0.11,20,1.48,21,2.96
F,597,Saydee,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,598,Bevan,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,599,Gomes,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,600,Knight,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.02,1,0.03,0,0.03,1,0.00,1,0.04,1,0.06
M,601,Rodney,4.5,4.5,Crystal Palace,0,0.01,0,0.04,0,0.02,1,0.03,0,0.01,0,0.02,0,0.02,1,0.04,1,0.05
D,602,Renan Lodi,4.3,4.3,Nott'm Forest,73,3.18,72,1.84,68,2.31,64,4.60,65,2.07,63,1.87,63,1.41,59,1.89,61,1.89
M,603,Paquetá,5.9,5.9,West Ham,75,2.82,72,3.41,0,0.00,70,6.52,67,2.90,65,2.53,67,3.05,65,2.78,68,3.99
M,604,Phillips,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,605,Welch,4.0,4.0,Everton,0,0.01,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01,1,0.02
M,606,Vale,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,607,Smith,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01
F,608,Kalajdžić,5.3,5.3,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,609,Antony,7.3,7.3,Man Utd,62,3.10,64,4.13,0,0.00,61,6.74,58,3.62,58,3.37,56,0.84,58,2.91,56,5.86
D,610,Akanji,5.0,5.0,Man City,41,1.84,29,1.44,0,0.00,32,1.33,37,1.76,35,1.76,39,0.11,38,1.52,36,3.06
M,611,Gueye,4.9,4.9,Everton,74,2.27,72,2.22,70,1.90,67,2.02,69,1.87,68,2.17,67,2.04,67,2.00,67,1.98
D,612,Faes,4.2,4.2,Leicester,85,2.76,78,2.05,66,1.67,57,3.67,56,2.18,61,0.93,57,1.98,57,1.46,59,2.26
D,613,Kurzawa,4.3,4.3,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,5,0.18,9,0.19,10,0.37,11,0.60
M,614,Willian,5.5,5.5,Fulham,69,3.10,67,2.80,0,0.00,63,3.14,63,3.18,65,2.96,63,1.74,64,2.91,64,4.65
G,615,Kovár,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,616,Zakaria,4.9,4.9,Chelsea,27,1.10,22,0.90,21,0.92,17,1.50,21,0.85,21,0.85,18,0.20,21,0.89,21,1.08
F,617,Aubameyang,8.4,8.4,Chelsea,6,0.51,6,0.51,7,0.58,8,1.33,6,0.47,8,0.61,9,0.17,7,0.60,11,0.90
F,618,Vinícius,5.4,5.4,Fulham,19,0.98,13,0.66,0,0.00,12,0.67,14,0.81,15,0.79,15,0.48,15,0.80,15,1.28
F,619,Gnonto,5.1,5.1,Leeds,72,2.58,64,2.69,57,2.31,56,4.73,56,2.61,52,2.28,53,1.22,54,2.63,54,2.99
M,620,Arthur,4.8,4.8,Liverpool,6,0.23,8,0.34,0,0.00,5,0.40,6,0.23,6,0.24,5,0.24,6,0.23,7,0.43
D,621,Badé,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,622,Larios,4.0,4.0,Southampton,0,0.00,1,0.07,2,0.07,5,0.15,5,0.14,7,0.30,8,0.21,6,0.26,8,0.24
D,623,Caleta-Car,4.5,4.5,Southampton,19,0.65,22,1.32,25,0.78,27,0.81,25,0.57,25,1.04,27,0.59,27,1.14,28,0.74
M,624,Edozie,4.7,4.7,Southampton,4,0.31,3,0.43,5,0.33,4,0.25,5,0.30,5,0.34,4,0.28,7,0.44,5,0.30
F,625,Diego Costa,5.4,5.4,Wolves,10,0.63,6,0.42,6,0.47,9,0.59,8,0.48,8,0.56,11,0.64,9,0.64,13,0.70
G,626,Karius,3.9,3.9,Newcastle,0,0.00,1,0.02,0,0.00,0,0.04,0,0.01,1,0.03,0,0.00,0,0.01,0,0.01
G,627,Jakupović,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,628,Aurier,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,8,0.28,61,4.13,62,1.86,61,1.71,61,1.26,62,1.85,61,1.77
M,629,Traoré,4.3,4.3,Wolves,1,0.05,5,0.20,8,0.33,9,0.34,10,0.38,11,0.43,12,0.46,12,0.49,11,0.42
M,630,Nwaneri,4.5,4.5,Arsenal,0,0.01,0,0.01,0,0.01,0,0.02,0,0.02,1,0.04,1,0.06,1,0.03,1,0.04
D,631,Sousa,4.0,4.0,Arsenal,0,0.00,1,0.03,1,0.03,1,0.05,1,0.02,2,0.06,2,0.06,2,0.04,1,0.04
M,632,Trevitt,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01,1,0.04
G,633,Cox,3.9,3.9,Brentford,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01,0,0.00,0,0.00
F,634,Gordon,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,635,Bettinelli,4.0,4.0,Chelsea,1,0.04,0,0.01,0,0.01,0,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,636,Parkes,4.0,4.0,Fulham,0,0.01,0,0.01,0,0.00,1,0.03,2,0.05,1,0.03,1,0.01,1,0.01,1,0.03
D,637,John,4.0,4.0,Everton,0,0.00,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01
D,638,Bogarde,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,639,Braybrooke,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,640,Turns,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,641,Godo,4.5,4.5,Fulham,1,0.03,2,0.07,0,0.00,0,0.01,0,0.02,0,0.01,0,0.00,0,0.02,0,0.03
D,642,Balmer,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01
M,643,Mainoo,4.5,4.5,Man Utd,0,0.01,0,0.01,0,0.00,0,0.03,0,0.01,0,0.01,0,0.00,0,0.01,0,0.03
G,644,Goodman,4.0,4.0,Crystal Palace,1,0.02,1,0.09,2,0.06,1,0.05,1,0.02,0,0.01,0,0.00,0,0.01,0,0.01
D,645,Wormleighton,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.01,0,0.00,0,0.01,0,0.01,0,0.01,0,0.00,0,0.01
D,646,Crama,4.0,4.0,Brentford,0,0.01,1,0.05,1,0.02,1,0.03,1,0.03,1,0.04,1,0.05,2,0.05,1,0.05
M,647,Payne,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,648,Finnigan,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,649,Plain,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,650,Yarmolyuk,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.02,1,0.03
M,651,Moran,4.5,4.5,Brighton,2,0.11,2,0.18,0,0.00,4,0.35,4,0.20,4,0.26,4,0.01,3,0.14,3,0.26
D,652,Furlong,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,653,Hutchinson,4.3,4.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,654,Wells-Morrison,4.5,4.5,Crystal Palace,0,0.01,0,0.02,1,0.03,1,0.03,1,0.04,1,0.04,1,0.04,0,0.01,1,0.04
G,655,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00,0,0.01
G,656,Bishop,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00
F,657,Fraser,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00
M,658,Griffiths,4.4,4.4,Wolves,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00,0,0.01,0,0.01,0,0.01
F,659,Mateo Joseph,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,660,Shoretire,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,661,Hall,4.4,4.4,Chelsea,4,0.21,6,0.32,6,0.35,7,0.77,9,0.42,8,0.41,7,0.10,8,0.43,7,0.46
F,662,Cannon,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,663,Perkins,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.01,0,0.01,0,0.02,0,0.00,0,0.00,0,0.00,0,0.00
D,664,Lembikisa,4.0,4.0,Wolves,0,0.01,1,0.02,1,0.03,1,0.02,2,0.05,2,0.06,1,0.04,1,0.03,1,0.02
M,665,Doak,4.5,4.5,Liverpool,0,0.00,0,0.03,0,0.00,0,0.03,0,0.01,0,0.01,1,0.04,0,0.01,1,0.04
F,666,Dale Taylor,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,667,Sekularac,4.5,4.5,Fulham,0,0.01,1,0.04,0,0.00,0,0.01,0,0.00,0,0.01,0,0.01,1,0.03,0,0.02
M,668,Cozier-Duberry,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.00
F,669,Mubama,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.02,0,0.01,0,0.00,0,0.03,0,0.03,0,0.01
G,670,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,671,Morgan,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,672,Kadan Young,4.5,4.5,Aston Villa,0,0.01,1,0.03,1,0.05,1,0.11,1,0.07,1,0.07,1,0.03,1,0.07,2,0.07
D,673,Humphreys,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,674,Bennett,4.0,4.0,Man Utd,0,0.00,0,0.01,0,0.00,0,0.01,0,0.02,0,0.01,0,0.00,0,0.01,1,0.04
G,675,Smith,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,676,Ozoh,4.5,4.5,Crystal Palace,0,0.01,0,0.02,1,0.03,0,0.01,1,0.03,1,0.03,1,0.04,1,0.03,0,0.02
M,677,Hinshelwood,4.5,4.5,Brighton,1,0.07,1,0.07,0,0.00,1,0.12,1,0.05,1,0.06,1,0.00,1,0.03,0,0.03
M,678,Price,4.5,4.5,Everton,1,0.04,0,0.02,0,0.02,1,0.04,1,0.04,1,0.03,0,0.01,0,0.02,0,0.01
M,679,Buonanotte,4.5,4.5,Brighton,9,0.46,7,0.74,0,0.00,10,1.07,10,0.56,12,0.69,9,0.03,12,0.62,10,0.99
M,680,Gakpo,7.8,7.8,Liverpool,55,3.81,53,4.17,0,0.00,43,4.91,43,2.87,44,3.25,48,4.32,48,3.31,44,5.40
M,681,Scarpa,4.9,4.9,Nott'm Forest,14,0.86,15,0.81,16,0.91,13,1.48,15,0.86,15,0.88,17,0.92,18,1.05,14,0.80
F,682,Cunha,5.5,5.5,Wolves,41,2.13,55,2.56,53,3.09,49,2.67,50,2.49,51,2.96,48,2.56,51,2.93,50,2.29
M,683,Kuol,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,684,D.D.Fofana,5.0,5.0,Chelsea,2,0.18,2,0.19,3,0.29,3,0.52,3,0.23,4,0.33,3,0.07,5,0.46,4,0.43
F,685,Butler-Oyedeji,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,686,Simms,4.5,4.5,Everton,28,1.59,22,1.39,10,0.56,10,0.62,11,0.58,11,0.72,11,0.63,12,0.73,12,0.71
M,687,McAteer,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,688,Schade,4.9,4.9,Brentford,25,1.72,27,3.33,31,2.11,34,3.49,42,2.40,43,2.30,45,2.83,48,2.23,43,2.90
D,689,Badiashile,5.0,5.0,Chelsea,61,2.73,57,2.24,58,2.89,60,4.91,56,2.20,55,2.10,47,0.39,43,1.97,42,1.62
F,690,João Félix,7.6,7.6,Chelsea,72,4.12,72,4.00,70,4.13,67,7.85,69,3.55,65,3.58,65,0.86,66,3.97,64,3.87
D,691,Wöber,4.5,4.5,Leeds,79,1.92,76,2.26,71,2.25,72,4.51,72,3.13,70,1.97,69,1.17,71,2.73,65,2.88
M,692,Orsic,5.2,5.2,Southampton,32,1.76,35,3.49,35,1.78,35,1.65,32,1.42,31,1.74,32,1.36,33,1.96,32,1.47
M,693,Alcaraz,5.0,5.0,Southampton,15,0.71,18,1.62,18,0.83,18,0.78,20,0.81,19,0.89,20,0.80,22,1.08,22,0.90
D,694,Álex Moreno,4.4,4.4,Aston Villa,55,2.74,56,1.94,52,2.68,51,3.29,50,2.59,53,2.01,52,1.79,51,2.36,48,1.24
F,695,Adu-Adjei,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,696,Dacosta Gonzalez,4.4,4.4,Bournemouth,1,0.02,1,0.04,0,0.02,0,0.01,0,0.01,0,0.01,0,0.02,0,0.02,0,0.02
F,697,Sadi,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,698,Lemina,4.5,4.5,Wolves,72,2.40,68,2.19,66,2.44,64,2.31,64,2.16,61,2.27,61,2.12,60,2.31,60,1.94
M,699,Mudryk,6.7,6.7,Chelsea,44,2.76,47,2.89,45,3.02,43,5.60,41,2.39,42,2.57,41,0.61,42,2.81,42,2.79
F,700,Rutter,5.3,5.3,Leeds,37,1.71,34,1.86,34,1.76,34,3.67,33,1.96,28,1.59,30,0.88,29,1.85,32,2.23
F,701,Weghorst,5.8,5.8,Man Utd,56,2.82,48,3.13,0,0.00,36,4.17,39,2.42,40,2.36,37,0.57,36,1.91,38,4.09
M,702,Andrey Santos,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.02
M,703,Danilo,4.5,4.5,Nott'm Forest,10,0.44,10,0.43,10,0.42,7,0.73,8,0.37,9,0.40,9,0.39,9,0.40,12,0.48
M,704,Sarabia,5.5,5.5,Wolves,70,3.06,64,2.65,61,3.13,61,2.91,61,2.65,61,3.05,61,2.79,55,2.85,57,2.30
M,705,Ouattara,5.0,5.0,Bournemouth,63,2.23,59,2.54,55,2.35,53,5.01,49,2.18,50,2.03,48,2.27,47,2.13,48,2.40
F,706,Pollock,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,707,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00
M,708,Madueke,5.5,5.5,Chelsea,45,2.47,33,1.84,34,2.02,33,3.73,42,2.12,41,2.13,37,0.49,34,2.00,35,2.16
D,709,Kristiansen,4.5,4.5,Leicester,70,2.64,66,2.02,61,1.82,60,4.49,63,2.82,63,1.09,58,2.29,59,1.79,56,2.49
D,710,Kiwior,4.0,4.0,Arsenal,1,0.07,4,0.18,4,0.21,6,0.28,7,0.25,8,0.36,11,0.54,10,0.27,10,0.43
F,711,Durán,5.5,5.5,Aston Villa,12,0.73,15,0.81,16,1.04,17,1.79,15,0.95,13,0.77,13,0.74,14,0.91,13,0.68
M,712,Perrone,4.4,4.4,Man City,0,0.00,1,0.03,0,0.00,2,0.11,3,0.14,3,0.13,3,0.01,3,0.15,3,0.25
M,713,Danjuma,6.4,6.4,Spurs,11,0.81,14,1.21,17,1.27,20,1.41,18,1.31,18,1.55,18,1.17,19,1.40,18,1.16
F,714,Semenyo,5.0,5.0,Bournemouth,33,1.29,30,1.41,30,1.36,26,2.65,31,1.46,28,1.22,30,1.47,31,1.47,29,1.50
M,715,Tetê,5.5,5.5,Leicester,71,3.79,70,3.43,67,3.37,66,7.45,67,4.36,63,2.48,63,3.66,62,3.23,60,3.64
D,716,Bree,4.5,4.5,Southampton,6,0.25,6,0.44,11,0.37,6,0.22,5,0.15,5,0.26,12,0.27,7,0.32,6,0.19
G,717,Bentley,4.0,4.0,Wolves,0,0.01,1,0.06,2,0.08,2,0.10,2,0.08,1,0.06,1,0.06,1,0.06,2,0.06
D,718,Viña,4.5,4.5,Bournemouth,7,0.21,9,0.32,8,0.32,8,0.66,9,0.33,9,0.31,9,0.35,13,0.50,9,0.38
M,719,Ayari,4.5,4.5,Brighton,2,0.12,2,0.17,0,0.00,2,0.21,2,0.12,2,0.12,1,0.01,1,0.08,0,0.04
M,720,McKennie,4.9,4.9,Leeds,64,2.25,58,2.38,54,2.20,52,4.39,53,2.48,52,2.17,50,1.13,46,2.21,49,2.67
M,721,João Gomes,4.5,4.5,Wolves,7,0.26,6,0.23,6,0.26,10,0.39,7,0.29,10,0.39,12,0.46,13,0.51,11,0.40
D,722,Zabarnyi,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,1,0.10,2,0.07,2,0.06,1,0.05,6,0.19,1,0.04
M,723,H.Traorè,4.5,4.5,Bournemouth,75,2.51,70,2.86,67,2.71,64,5.76,64,2.69,65,2.48,64,2.83,63,2.72,64,2.95
M,724,Enzo,5.0,5.0,Chelsea,78,3.33,75,3.08,74,3.34,70,6.00,69,2.74,70,2.85,66,0.67,65,2.93,65,3.05
M,725,Ahamada,4.5,4.5,Crystal Palace,2,0.10,2,0.22,7,0.31,5,0.25,5,0.24,5,0.27,5,0.27,6,0.28,6,0.28
M,726,Lukic,4.5,4.5,Fulham,80,2.53,74,2.24,0,0.00,26,1.01,26,1.02,28,1.05,27,0.57,29,1.06,30,1.79
D,727,Souttar,4.5,4.5,Leicester,84,2.95,79,2.18,66,1.75,60,4.12,58,2.42,58,0.88,61,2.21,60,1.62,60,2.41
M,728,Sabitzer,4.9,4.9,Man Utd,50,2.10,49,2.56,0,0.00,47,4.30,44,2.23,49,2.33,46,0.57,46,1.96,41,3.56
G,729,Navas,4.5,4.5,Nott'm Forest,89,3.80,87,3.11,82,3.15,77,5.99,75,2.81,76,2.78,73,2.59,75,2.80,73,2.70
D,730,Felipe,4.5,4.5,Nott'm Forest,82,3.06,77,1.61,73,2.09,61,3.65,52,1.36,49,1.18,44,0.82,42,1.12,43,1.10
M,731,Kamaldeen,5.0,5.0,Southampton,61,2.82,55,4.83,46,2.16,47,2.04,48,1.91,47,2.40,48,1.81,42,2.29,47,1.93
F,732,Onuachu,5.5,5.5,Southampton,76,3.46,71,6.29,69,3.15,66,2.76,66,2.60,65,3.27,64,2.38,64,3.45,64,2.57
D,733,Pedro Porro,4.8,4.8,Spurs,43,2.08,34,2.00,32,1.59,31,1.57,33,1.47,32,1.90,27,1.05,29,1.25,32,1.11
M,734,A.Ayew,5.0,5.0,Nott'm Forest,27,1.50,26,1.25,28,1.41,20,2.20,22,1.14,24,1.21,24,1.13,25,1.25,26,1.29
M,735,Marçal-Madivadua,4.5,4.5,Leicester,1,0.03,1,0.04,1,0.06,2,0.15,2,0.09,2,0.08,2,0.09,2,0.09,2,0.09
D,736,Offiah,4.0,4.0,Brighton,2,0.08,1,0.04,0,0.00,1,0.06,1,0.03,3,0.10,1,0.00,1,0.05,1,0.07
D,737,Greenwood,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00
D,738,Kinsey-Wellings,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00
G,739,Anang,4.0,4.0,West Ham,0,0.01,0,0.00,0,0.00,0,0.02,0,0.01,0,0.00,1,0.03,0,0.00,0,0.00
G,740,Hegyi,3.9,3.9,West Ham,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.00
M,741,Miley,4.5,4.5,Newcastle,0,0.01,0,0.01,0,0.01,1,0.07,1,0.04,1,0.03,1,0.03,1,0.05,1,0.05
D,742,Chilokoa-Mullen,4.0,4.0,Leeds,1,0.02,1,0.02,2,0.05,1,0.05,1,0.03,1,0.03,1,0.02,1,0.04,1,0.04
D,743,Monteiro,4.0,4.0,Leeds,0,0.01,1,0.02,1,0.03,1,0.05,1,0.04,1,0.03,1,0.01,2,0.05,1,0.05
D,744,Swinkels,4.0,4.0,Aston Villa,0,0.00,0,0.01,0,0.01,0,0.02,1,0.02,1,0.02,0,0.01,1,0.03,1,0.01
G,745,Zych,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.01
D,746,Casey,4.0,4.0,West Ham,1,0.02,0,0.01,0,0.00,1,0.04,1,0.04,1,0.03,1,0.04,2,0.06,2,0.07
G,10023,Alfie Whiteman,99.9,99.9,Spurs,2,0.09,4,0.18,5,0.20,4,0.17,1,0.05,1,0.06,0,0.01,0,0.00,0,0.00
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10150,Andy Lonergan,99.9,99.9,Everton,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00,0,0.02,0,0.01,0,0.01,0,0.01
D,10201,Teden Mengi,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
D,10241,Benjamin Mendy,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.00,0,0.01,0,0.02
M,10249,Matty Longstaff,99.9,99.9,Newcastle,3,0.11,3,0.15,4,0.19,4,0.39,5,0.24,5,0.26,5,0.24,4,0.18,4,0.23
F,10263,Mason Greenwood,99.9,99.9,Man Utd,0,0.02,0,0.02,0,0.00,0,0.04,0,0.04,1,0.05,0,0.01,0,0.03,0,0.06
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.01,0,0.00,0,0.01,0,0.02,0,0.00,1,0.03,1,0.02,0,0.01,1,0.02
G,10351,Gabriel Slonina,99.9,99.9,Chelsea,1,0.05,1,0.06,2,0.12,0,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10359,Louie Moulden,99.9,99.9,Wolves,1,0.03,1,0.03,2,0.09,1,0.05,3,0.11,3,0.12,2,0.10,1,0.07,2,0.07
