Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,Elite%
F,207,Mateta,7.5,7.5,Crystal Palace,19,1.19,48,2.96,73,3.39,72,4.85,70,3.9,70,3.6,70,3.41,70,13.736478374999997,0.07
M,208,M.França,4.5,4.5,Crystal Palace,12,0.63,14,0.82,13,0.69,14,0.92,15,0.86,15,0.81,15,0.83,15,3.2705088124999997,0.0
G,209,Matthews,4.0,4.0,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
D,210,Mitchell,5.0,5.0,Crystal Palace,85,2.71,83,2.9,83,1.76,80,3.48,79,2.49,79,2.62,79,2.03,78,9.308097312499997,0.03
D,211,Muñoz,5.0,5.0,Crystal Palace,87,2.95,85,3.29,81,1.95,79,3.79,78,2.72,79,2.86,78,2.21,78,10.1282655625,0.04
M,212,Ozoh,4.5,4.5,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,213,Rak-Sakyi,4.5,4.5,Crystal Palace,3,0.22,3,0.28,3,0.23,5,0.39,4,0.31,5,0.33,5,0.32,6,1.3799806874999998,0.0
M,214,Schlupp,5.0,5.0,Crystal Palace,7,0.4,8,0.47,9,0.44,10,0.58,11,0.57,12,0.55,12,0.55,14,2.3941625624999996,0.0
D,215,Ward,4.5,4.5,Crystal Palace,5,0.13,6,0.19,8,0.18,11,0.39,11,0.32,12,0.38,11,0.27,12,1.4377660625,0.0
M,216,Wharton,5.0,5.0,Crystal Palace,80,2.59,80,2.8,77,2.31,77,3.04,77,2.59,75,2.5,75,2.35,73,9.021466625,0.01
M,217,A.Doucoure,5.5,5.5,Everton,84,3.24,80,2.63,78,3.45,77,2.77,74,3.13,73,3.06,74,3.0,72,11.265570812499998,0.01
F,218,Beto,5.0,5.0,Everton,25,1.58,27,1.37,25,1.66,25,1.37,26,1.68,26,1.61,27,1.65,27,6.244657624999999,0.0
D,219,Branthwaite,5.0,5.0,Everton,0,0.0,36,0.7,71,2.47,80,1.8,80,2.53,78,2.62,78,2.17,76,9.1005795,0.04
F,220,Calvert-Lewin,6.0,6.0,Everton,71,3.94,68,3.03,66,3.98,64,3.07,65,3.73,63,3.53,60,3.3,62,12.898703625,0.02
D,221,Coleman,4.5,4.5,Everton,0,0.0,18,0.47,34,1.33,36,1.05,36,1.34,35,1.34,35,1.18,36,5.1968353125,0.0
M,222,Gana,5.0,5.0,Everton,84,2.38,80,2.03,75,2.28,71,1.94,70,2.11,70,2.09,69,2.01,68,7.584541562499999,0.0
M,223,Garner,5.0,5.0,Everton,0,0.0,30,0.91,66,2.36,75,2.27,73,2.52,74,2.53,73,2.41,73,9.415297812499999,0.0
M,224,Harrison,5.5,5.5,Everton,74,3.24,71,2.6,68,3.22,66,2.57,66,2.94,65,2.9,63,2.76,64,10.675351187499999,0.0
D,225,Holgate,4.0,4.0,Everton,25,0.89,22,0.57,13,0.49,9,0.26,10,0.35,10,0.35,12,0.4,13,1.6668566249999999,0.01
M,226,Iroegbunam,4.5,4.5,Everton,58,1.94,47,1.47,33,1.26,32,1.12,34,1.29,35,1.29,36,1.29,37,4.895409249999999,0.0
G,227,J.Virginia,4.0,4.0,Everton,1,0.04,2,0.06,3,0.11,3,0.12,5,0.17,4,0.16,4,0.15,4,0.548792125,0.01
D,228,Keane,4.0,4.0,Everton,18,0.6,14,0.34,7,0.23,5,0.13,6,0.18,7,0.22,7,0.19,7,0.9663154375,0.02
F,229,Maupay,5.0,5.0,Everton,27,1.43,27,1.27,25,1.48,24,1.22,26,1.45,26,1.44,28,1.5,28,5.713195062499999,0.02
M,230,McNeil,5.5,5.5,Everton,89,3.93,84,2.99,82,3.84,81,3.02,80,3.56,81,3.54,79,3.37,80,12.796938124999999,0.01
D,231,Mykolenko,4.5,4.5,Everton,91,3.0,87,1.82,84,3.05,82,1.96,82,2.8,80,2.83,80,2.37,78,9.992195875,0.11
F,232,Ndiaye,5.5,5.5,Everton,55,2.65,51,2.06,44,2.31,44,1.94,44,2.2,44,2.17,47,2.27,46,8.570347437499997,0.0
M,233,Onana,5.0,5.0,Aston Villa,59,1.95,55,1.71,57,2.06,42,1.63,25,1.08,24,1.01,26,1.02,24,3.5407484999999994,0.01
D,234,Patterson,4.5,4.5,Everton,0,0.0,0,0.0,7,0.27,18,0.52,18,0.66,20,0.75,21,0.68,22,2.807382875,0.0
G,235,Pickford,5.0,5.0,Everton,94,3.44,93,3.03,92,3.5,91,3.11,90,3.44,91,3.4,91,3.17,90,12.556911937499999,0.17
D,236,Tarkowski,5.0,5.0,Everton,93,2.99,90,1.7,88,3.08,87,1.92,86,2.81,85,2.91,85,2.36,84,10.112861124999998,0.02
F,237,Y. Chermiti,5.0,5.0,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,238,Young,4.5,4.5,Everton,76,2.75,69,1.58,59,2.29,54,1.46,54,2.03,56,2.14,53,1.72,53,7.382377249999999,0.0
M,239,Adama,5.0,5.0,Fulham,59,2.47,57,3.28,58,2.98,56,2.79,56,2.65,56,2.62,55,1.92,52,9.5620171875,0.0
M,240,Andreas,5.5,5.5,Fulham,74,3.1,64,3.9,59,3.13,55,2.93,58,2.91,55,2.67,56,2.0,55,10.40358175,0.04
D,241,Bassey,4.5,4.5,Fulham,87,1.72,83,3.06,80,2.57,79,2.36,79,2.1,78,2.29,78,0.8,76,8.402612187499999,0.0
G,242,Benda,4.0,4.0,Fulham,1,0.04,2,0.07,3,0.13,3,0.13,4,0.15,4,0.15,4,0.12,3,0.46413843749999995,0.0
M,243,Cairney,5.0,5.0,Fulham,33,1.33,37,1.79,38,1.71,42,1.85,42,1.77,44,1.78,46,1.5,45,6.8576799374999995,0.0
D,244,Castagne,4.5,4.5,Fulham,79,1.82,75,3.21,72,2.62,72,2.49,69,2.1,69,2.32,69,0.9,68,8.617927375,0.03
D,245,Diop,4.5,4.5,Fulham,91,1.74,88,3.22,85,2.7,85,2.5,86,2.17,84,2.37,82,0.8,83,8.862743937499998,0.0
M,246,Harris,4.5,4.5,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,247,Iwobi,5.5,5.5,Fulham,83,3.04,81,4.07,80,3.6,78,3.42,76,3.24,76,3.17,75,2.31,74,11.689582437499999,0.01
G,248,Leno,5.0,5.0,Fulham,94,3.2,93,3.64,91,3.43,92,3.28,91,3.15,91,3.32,91,2.99,91,12.5017511875,0.03
M,249,Lukić,5.0,5.0,Fulham,73,2.33,70,2.99,67,2.58,62,2.43,61,2.26,62,2.28,62,1.84,61,8.41969325,0.0
D,250,Mbabu,4.0,4.0,Fulham,5,0.1,7,0.25,10,0.33,12,0.38,13,0.4,13,0.42,15,0.23,14,1.9103201875,0.01
F,251,Muniz,6.0,6.0,Fulham,77,3.48,74,4.79,71,4.09,70,3.91,68,3.68,67,3.5,66,2.45,66,12.952971999999997,0.07
F,252,Raúl,5.5,5.5,Fulham,21,1.2,23,1.71,26,1.66,24,1.56,25,1.59,26,1.56,27,1.22,27,6.0560921875,0.01
D,253,Ream,4.5,4.5,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,254,Reed,5.0,5.0,Fulham,37,1.26,41,1.61,45,1.6,48,1.67,49,1.65,48,1.61,47,1.35,50,6.074982875,0.0
D,255,Robinson,4.5,4.5,Fulham,84,1.81,84,3.44,81,2.84,79,2.58,77,2.23,77,2.42,76,0.87,75,8.875878,0.08
F,256,Stansfield,5.0,5.0,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.08,1,0.08,1,0.42403831249999996,0.0
D,257,Tete,4.5,4.5,Fulham,15,0.44,20,0.88,23,0.89,22,0.84,25,0.85,26,0.95,25,0.47,28,3.661084624999999,0.0
F,258,Vinicius,5.0,5.0,Fulham,3,0.24,5,0.41,6,0.46,8,0.55,9,0.59,9,0.6,9,0.47,10,2.3251645625,0.01
M,259,Wilson,5.5,5.5,Fulham,31,1.52,34,2.21,35,2.06,37,2.12,37,2.0,37,1.98,37,1.48,41,7.8453435625,0.0
F,260,Al-Hamadi,5.0,5.0,Ipswich,19,1.1,18,0.89,17,1.15,20,1.13,20,1.28,19,1.17,14,0.83,10,2.3785725,0.0
D,261,Baggott,4.0,4.0,Ipswich,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,262,Broadhead,5.0,5.0,Ipswich,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,1.09,40,1.81,48,8.804929625,0.0
D,263,Burgess,4.0,4.0,Ipswich,54,0.9,55,0.28,57,1.56,58,1.04,57,1.45,57,1.3,55,0.99,58,5.192745187499999,0.0
M,264,Burns,5.0,5.0,Ipswich,60,2.37,61,2.0,59,2.77,62,2.4,60,2.63,56,2.45,51,2.06,49,7.9392875,0.0
M,265,Chaplin,5.5,5.5,Ipswich,59,2.75,60,2.25,60,3.43,58,2.72,58,3.12,55,2.93,50,2.39,47,8.939426124999999,0.0
D,266,Clarke,4.0,4.0,Ipswich,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,267,Davis,4.5,4.5,Ipswich,84,1.79,81,0.64,77,2.71,75,1.72,76,2.42,76,2.22,77,1.77,74,8.67992675,0.02
F,268,Delap,5.5,5.5,Ipswich,64,2.73,67,2.25,69,3.34,68,2.8,67,3.05,66,2.96,61,2.56,54,9.4707154375,0.0
D,269,Edmundson,4.0,4.0,Ipswich,13,0.26,17,0.16,19,0.55,20,0.44,19,0.55,23,0.59,20,0.43,24,2.3271663124999997,0.0
D,270,Greaves,4.0,4.0,Ipswich,72,1.12,68,0.29,66,1.8,66,1.17,67,1.65,66,1.46,66,1.16,64,5.891693624999999,0.01
M,271,Harness,5.0,5.0,Ipswich,57,2.24,56,1.84,57,2.61,57,2.21,57,2.49,53,2.27,48,1.96,45,7.413349687499999,0.0
F,272,Hirst,5.5,5.5,Ipswich,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07,17,0.89,38,7.32119725,0.0
M,273,Humphreys,4.5,4.5,Ipswich,1,0.07,4,0.18,5,0.26,7,0.32,7,0.31,7,0.3,7,0.29,7,1.2178796875,0.0
M,274,Hutchinson,5.5,5.5,Ipswich,79,2.92,77,2.31,75,3.34,73,2.72,73,3.14,71,2.93,68,2.59,66,10.236378124999998,0.01
D,275,Johnson,4.0,4.0,Ipswich,75,1.36,72,0.49,68,2.08,70,1.41,68,1.85,67,1.66,65,1.29,65,6.5924561875,0.03
F,276,Ladapo,4.5,4.5,Ipswich,19,1.04,19,0.85,20,1.18,19,1.03,20,1.22,19,1.14,14,0.81,9,2.1813149999999997,0.02
M,277,Luongo,4.5,4.5,Ipswich,76,2.08,74,1.79,74,2.27,70,1.93,69,2.08,71,2.1,69,1.9,69,7.521148625,0.0
M,278,Morsy,5.0,5.0,Ipswich,90,2.17,87,1.84,84,2.28,86,2.03,83,2.18,83,2.11,83,1.98,81,7.6481610625,0.0
D,279,Ndaba,4.0,4.0,Ipswich,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,280,Slicker,4.0,4.0,Ipswich,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
M,281,Taylor,5.0,5.0,Ipswich,25,1.01,29,0.99,30,1.27,32,1.2,34,1.35,32,1.26,32,1.19,32,4.9130931874999995,0.0
D,282,Tuanzebe,4.0,4.0,Ipswich,26,0.53,29,0.29,32,0.93,30,0.65,32,0.88,34,0.83,34,0.7,34,3.40148125,0.01
G,283,Walton,4.5,4.5,Ipswich,3,0.09,3,0.1,3,0.12,5,0.15,5,0.18,5,0.16,6,0.2,7,0.8252861249999999,0.0
D,284,Woolfenden,4.0,4.0,Ipswich,67,0.98,62,0.25,64,1.61,62,0.99,62,1.4,57,1.18,60,0.96,58,4.8444970624999995,0.01
M,285,B.Soumaré,4.5,4.5,Leicester,42,1.15,45,1.2,46,1.23,45,1.17,46,1.3,42,1.03,45,1.28,45,4.5573074375,0.0
F,286,Cannon,4.5,4.5,Leicester,46,2.27,25,1.39,7,0.49,7,0.42,7,0.49,6,0.36,8,0.56,8,1.9988087499999998,0.01
M,287,Choudhury,4.5,4.5,Leicester,38,1.08,42,1.14,46,1.25,48,1.26,49,1.38,46,1.14,46,1.31,48,4.9055295,0.0
D,288,Coady,4.0,4.0,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,7,0.21,14,0.18,16,0.49,16,1.7085511875,0.01
F,289,Daka,5.0,5.0,Leicester,27,1.46,45,2.28,47,2.67,44,2.18,43,2.53,44,1.77,42,2.5,45,9.0492350625,0.01
M,290,De Cordova-Reid,5.5,5.5,Leicester,49,2.37,44,2.14,42,2.04,41,1.86,42,2.13,42,1.51,41,2.13,42,7.6158335,0.0
D,291,Faes,4.0,4.0,Leicester,91,1.83,87,1.89,85,2.0,83,1.71,83,2.63,81,0.64,81,2.38,81,7.652089812499999,0.07
M,292,Golding,4.5,4.5,Leicester,0,0.0,0,0.0,1,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,293,Hermansen,4.5,4.5,Leicester,93,3.1,92,3.08,91,3.08,91,3.04,90,3.32,89,2.9,90,3.19,87,11.4948669375,0.0
G,294,Iversen,4.0,4.0,Leicester,2,0.06,3,0.11,3,0.12,4,0.13,4,0.16,5,0.17,5,0.17,7,0.7873525,0.01
D,295,Justin,4.5,4.5,Leicester,33,0.85,32,0.86,35,1.0,36,0.9,38,1.35,39,0.46,37,1.23,37,4.202614812499999,0.0
D,296,Kristiansen,4.5,4.5,Leicester,55,1.33,53,1.34,52,1.42,53,1.27,55,1.93,50,0.59,52,1.65,51,5.412242687499999,0.0
M,297,Marcal,4.5,4.5,Leicester,4,0.28,5,0.33,4,0.28,4,0.27,5,0.33,6,0.32,6,0.39,6,1.49748625,0.0
M,298,Mavididi,5.5,5.5,Leicester,79,4.07,76,3.61,72,3.66,71,3.15,70,3.69,70,2.44,69,3.8,69,12.789816374999997,0.01
M,299,McAteer,5.0,5.0,Leicester,15,0.81,15,0.81,14,0.77,15,0.75,14,0.85,15,0.66,16,0.96,17,3.5585884374999996,0.0
M,300,Ndidi,5.0,5.0,Leicester,74,2.27,71,2.23,68,2.25,65,2.0,64,2.25,67,1.78,66,2.3,64,7.8396149374999995,0.0
D,301,Okoli,4.0,4.0,Leicester,68,1.35,66,1.36,65,1.44,64,1.27,62,1.87,62,0.45,61,1.65,61,5.3780870625,0.0
D,302,Ricardo,4.5,4.5,Leicester,69,1.64,70,1.76,68,1.85,66,1.55,63,2.26,61,0.59,62,2.02,60,6.4692335624999995,0.0
D,303,Souttar,4.0,4.0,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,304,Stolarczyk,4.0,4.0,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,305,Thomas,4.0,4.0,Leicester,19,0.54,22,0.61,25,0.74,23,0.64,22,0.81,24,0.38,22,0.76,25,2.8037265,0.01
F,306,Vardy,5.5,5.5,Leicester,3,0.18,18,1.02,47,2.65,55,2.67,55,3.18,56,2.15,56,3.35,54,11.226481125,0.02
D,307,Vestergaard,4.0,4.0,Leicester,41,0.9,45,1.01,45,1.08,48,0.99,45,1.43,46,0.4,45,1.3,46,4.4901508125000005,0.02
G,308,Ward,4.0,4.0,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.03
M,309,Winks,4.5,4.5,Leicester,88,2.33,85,2.19,82,2.26,81,2.08,79,2.32,80,1.83,81,2.35,79,8.056242874999999,0.13
G,310,A.Becker,5.5,5.5,Liverpool,93,3.93,92,3.95,91,3.41,91,4.0,91,3.81,90,3.72,91,3.62,91,13.051112312499997,0.1
D,311,Alexander-Arnold,7.0,7.0,Liverpool,83,4.88,79,4.68,77,3.11,73,4.61,74,4.4,73,3.83,73,3.44,72,12.31077475,0.28
M,312,Bajcetic,4.5,4.5,Liverpool,0,0.0,2,0.12,3,0.16,3,0.18,5,0.26,5,0.23,6,0.27,5,0.984215625,0.0
D,313,Bradley,5.0,5.0,Liverpool,15,0.74,18,0.99,21,0.92,23,1.32,23,1.24,23,1.18,24,1.09,25,4.212521375,0.01
M,314,Carvalho,5.0,5.0,Brentford,31,1.6,38,1.56,35,2.07,36,1.37,36,1.59,35,1.82,36,1.95,36,6.868369625,0.01
M,315,Clark,4.5,4.5,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
F,316,Darwin,7.5,7.5,Liverpool,40,2.76,46,3.15,47,2.57,48,3.39,49,3.5,49,2.9,49,2.8,50,11.085479562499998,0.06
M,317,Diogo J.,7.5,7.5,Liverpool,69,4.96,61,4.41,60,3.37,55,4.21,53,3.96,53,3.29,54,3.21,54,12.432691124999998,0.14
M,318,Doak,4.5,4.5,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,319,Elliott,5.5,5.5,Liverpool,23,1.36,27,1.56,28,1.4,31,1.82,30,1.76,32,1.63,31,1.58,31,5.97753725,0.01
M,320,Endo,5.0,5.0,Liverpool,44,1.77,45,1.82,45,1.53,43,1.75,43,1.69,42,1.53,43,1.55,44,5.905081874999999,0.0
F,321,Gakpo,7.5,7.5,Liverpool,31,2.1,33,2.27,38,2.09,39,2.72,41,2.8,41,2.35,41,2.31,41,9.1615488125,0.05
D,322,Gomez,5.0,5.0,Liverpool,7,0.23,8,0.29,9,0.26,12,0.47,12,0.46,14,0.48,15,0.52,14,1.8310374999999999,0.01
M,323,Gravenberch,5.0,5.0,Liverpool,38,1.79,38,1.78,39,1.56,41,1.92,39,1.81,41,1.74,39,1.62,40,6.1968440000000005,0.0
M,324,Jones,5.5,5.5,Liverpool,18,0.98,22,1.13,25,1.13,28,1.49,27,1.41,26,1.25,27,1.23,29,4.917191562499999,0.0
G,325,Kelleher,4.5,4.5,Liverpool,2,0.08,3,0.12,4,0.14,3,0.15,4,0.17,5,0.2,4,0.14,4,0.5506559999999999,0.0
D,326,Konaté,5.0,5.0,Liverpool,21,0.86,30,1.32,29,0.95,35,1.64,34,1.47,37,1.47,37,1.34,39,4.934532375,0.02
M,327,Luis Díaz,7.5,7.5,Liverpool,60,3.98,62,4.09,62,3.31,63,4.32,62,4.18,60,3.38,60,3.25,61,12.607246749999998,0.09
M,328,M.Salah,12.5,12.5,Liverpool,89,7.28,83,7.03,75,4.75,72,6.36,73,6.37,74,5.13,73,4.84,73,18.996076562499997,0.34
M,329,Mac Allister,6.5,6.5,Liverpool,89,3.88,84,3.88,84,3.09,81,4.0,82,3.92,81,3.32,80,3.13,80,12.218330687499998,0.03
M,330,McConnell,4.5,4.5,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,331,Morton,4.5,4.5,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06,0,0.2016954375,0.0
D,332,N.Phillips,4.0,4.0,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,333,Quansah,4.5,4.5,Liverpool,78,3.27,69,3.0,68,2.12,63,2.84,64,2.7,63,2.48,62,2.21,60,7.593744125,0.05
D,334,R.Williams,4.0,4.0,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,335,Robertson,6.0,6.0,Liverpool,27,1.42,56,3.12,79,3.0,78,4.54,76,4.14,76,3.66,74,3.25,74,11.878928562499999,0.05
M,336,Szoboszlai,6.5,6.5,Liverpool,62,3.65,61,3.62,59,2.85,57,3.53,59,3.55,58,3.01,58,2.88,56,10.8931423125,0.02
D,337,Tsimikas,5.0,5.0,Liverpool,65,3.41,36,1.96,14,0.56,14,0.78,15,0.8,16,0.73,17,0.75,17,2.8886069374999996,0.01
D,338,Van den Berg,4.0,4.0,Liverpool,0,0.0,1,0.04,1,0.04,2,0.08,2,0.1,3,0.11,3,0.09,4,0.49287349999999996,0.0
D,339,Virgil,6.0,6.0,Liverpool,90,4.03,87,3.94,87,2.73,85,4.04,84,3.73,82,3.33,82,2.96,81,10.6326338125,0.12
D,340,Akanji,5.5,5.5,Man City,59,2.12,60,3.35,54,2.28,53,2.74,54,1.94,54,2.07,54,2.72,55,9.5043810625,0.04
D,341,Aké,5.5,5.5,Man City,59,2.25,56,3.33,55,2.4,55,2.93,55,2.11,54,2.18,55,2.92,52,9.954704125,0.03
M,342,Bernardo,6.5,6.5,Man City,75,3.5,69,4.69,61,3.03,65,3.8,62,2.66,62,2.92,62,3.71,63,12.41211175,0.04
M,343,Bobb,5.0,5.0,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.346809124999999,0.01
G,344,Carson,4.0,4.0,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,345,De Bruyne,9.5,9.5,Man City,54,3.18,69,6.04,68,4.4,66,5.02,68,3.62,66,3.96,63,4.93,63,16.417862562499998,0.07
M,346,Doku,6.5,6.5,Man City,73,3.83,62,4.89,52,3.08,50,3.46,50,2.53,51,2.86,49,3.4,49,11.212700937500001,0.03
G,347,Ederson M.,5.5,5.5,Man City,93,3.53,91,4.31,91,3.69,90,4.05,88,3.38,89,3.45,88,3.95,86,13.927857499999998,0.06
M,348,Foden,9.5,9.5,Man City,39,2.5,60,5.73,75,5.02,73,5.92,73,4.16,74,4.75,72,5.96,71,19.599820625,0.2
M,349,Grealish,6.5,6.5,Man City,12,0.7,32,2.58,45,2.66,44,3.03,43,2.15,44,2.48,42,2.99,43,9.9850013125,0.0
D,350,Gvardiol,6.0,6.0,Man City,79,3.01,76,4.77,72,3.24,71,3.99,70,2.69,71,2.86,70,3.84,68,12.8660951875,0.34
F,351,Haaland,15.0,15.0,Man City,89,6.51,84,9.71,82,6.38,79,7.73,80,5.21,79,5.81,79,7.74,76,24.6860451875,0.5
F,352,J.Alvarez,7.0,7.0,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
D,353,João Cancelo,5.5,5.5,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
M,354,Kovačić,5.5,5.5,Man City,68,2.43,53,2.55,40,1.63,41,1.87,40,1.5,40,1.58,40,1.82,42,6.462394374999999,0.0
D,355,Lewis,4.5,4.5,Man City,46,1.88,32,1.93,12,0.51,13,0.65,13,0.52,13,0.56,13,0.69,13,2.420672375,0.01
M,356,Matheus N.,5.0,5.0,Man City,49,2.21,33,2.06,25,1.31,26,1.5,26,1.2,28,1.36,28,1.55,27,5.2631253749999996,0.0
M,357,McAtee,5.0,5.0,Man City,12,0.79,8,0.84,8,0.61,8,0.73,9,0.56,9,0.67,11,0.9,10,2.6168733125,0.0
G,358,Ortega Moreno,5.5,5.5,Man City,2,0.09,4,0.2,4,0.18,5,0.24,7,0.26,6,0.24,7,0.32,9,1.1799979374999998,0.01
M,359,Phillips,5.0,5.0,Man City,2,0.12,1,0.1,2,0.12,2,0.14,2,0.13,2,0.16,2,0.17,2,0.6075196875,0.0
M,360,Rodrigo,6.5,6.5,Man City,45,1.72,65,3.35,82,3.15,81,3.67,81,2.73,79,2.91,80,3.63,80,12.384605062499999,0.07
D,361,Rúben,5.5,5.5,Man City,77,2.71,71,4.06,68,2.82,64,3.27,67,2.43,64,2.39,67,3.39,67,11.3052695,0.03
D,362,Stones,5.5,5.5,Man City,24,0.88,47,2.71,52,2.19,55,2.88,51,1.9,53,2.07,54,2.77,55,9.444593187499999,0.02
D,363,Walker,5.5,5.5,Man City,25,0.94,27,1.53,66,2.72,63,3.26,66,2.41,64,2.45,62,3.2,64,11.075541312499999,0.1
M,364,Amad,5.0,5.0,Man Utd,40,2.4,35,1.8,31,1.57,27,1.62,24,1.26,26,1.41,26,1.33,26,5.803350375,0.03
M,365,Antony,6.0,6.0,Man Utd,19,1.19,20,1.1,21,1.11,20,1.23,18,0.95,18,1.05,19,1.03,19,4.446098749999999,0.0
M,366,B.Fernandes,8.5,8.5,Man Utd,91,6.25,88,4.87,87,4.75,86,5.5,85,4.6,86,5.03,85,4.44,84,20.24301775,0.18
G,367,Bayindir,4.5,4.5,Man Utd,1,0.05,2,0.08,3,0.1,3,0.12,3,0.12,3,0.11,4,0.13,3,0.5018021874999999,0.0
M,368,Casemiro,5.0,5.0,Man Utd,84,3.07,80,2.52,79,2.44,76,2.66,75,2.37,74,2.41,74,2.3,73,9.532336375,0.0
D,369,Dalot,5.0,5.0,Man Utd,90,3.85,88,2.71,85,2.47,82,3.26,79,2.59,78,2.58,78,2.24,78,11.189691125,0.08
M,370,Eriksen,5.5,5.5,Man Utd,5,0.35,7,0.41,7,0.4,9,0.53,9,0.5,8,0.49,8,0.46,9,2.0560873749999997,0.0
D,371,Evans,4.5,4.5,Man Utd,6,0.2,3,0.1,4,0.12,4,0.13,4,0.12,4,0.11,4,0.11,4,0.48422956249999993,0.0
M,372,Garnacho,6.5,6.5,Man Utd,82,4.68,76,3.66,74,3.48,73,4.0,72,3.42,70,3.52,71,3.24,70,14.228706062499999,0.17
M,373,Hannibal,4.5,4.5,Man Utd,0,0.0,0,0.0,1,0.1,2,0.12,1,0.11,2,0.12,1,0.09,2,0.472925875,0.0
G,374,Heaton,4.0,4.0,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
F,375,Højlund,7.0,7.0,Man Utd,0,0.0,0,0.0,0,0.0,19,1.15,42,2.18,45,2.51,46,2.34,45,10.043198687499999,0.01
D,376,Lindelof,4.5,4.5,Man Utd,27,1.07,22,0.71,24,0.72,20,0.74,14,0.46,13,0.44,13,0.39,12,1.6165663124999998,0.0
D,377,Maguire,5.0,5.0,Man Utd,57,2.22,32,1.03,36,1.04,35,1.35,29,0.98,28,0.94,27,0.82,27,4.048368749999999,0.0
M,378,Mainoo,5.5,5.5,Man Utd,77,2.64,74,2.24,73,2.19,71,2.32,69,2.11,69,2.16,70,2.08,70,8.437440562499999,0.06
D,379,Malacia,4.5,4.5,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.16,11,1.7973682499999997,0.0
D,380,Martinez,4.5,4.5,Man Utd,81,3.27,79,2.39,78,2.12,75,2.77,74,2.3,72,2.25,73,1.96,72,9.6592924375,0.05
M,381,McTominay,5.0,5.0,Man Utd,25,1.27,26,1.1,27,1.06,29,1.33,28,1.1,29,1.17,29,1.11,28,4.657182,0.01
M,382,Mount,6.5,6.5,Man Utd,24,1.49,24,1.29,25,1.33,25,1.46,25,1.3,23,1.27,23,1.22,26,5.6204188749999995,0.0
G,383,Onana,5.0,5.0,Man Utd,94,3.66,93,3.31,92,3.19,92,3.49,91,3.34,92,3.27,91,3.17,92,12.763707124999998,0.06
M,384,Pellistri,5.0,5.0,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.07308087499999999,0.0
