Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,211,Reed,4.3,4.3,Fulham,72,2.20,69,2.29,66,2.01,64,3.66,63,2.15,61,2.02,63,2.11,61,1.72
M,212,Wilson,5.7,5.7,Fulham,19,1.04,23,1.45,24,1.28,26,2.50,26,1.66,22,1.25,24,1.42,24,1.11
G,213,Rodák,4.3,4.3,Fulham,2,0.07,2,0.09,4,0.15,4,0.30,3,0.14,5,0.18,6,0.26,5,0.18
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,215,Tete,4.4,4.4,Fulham,59,1.90,55,2.08,56,1.55,56,2.11,53,2.05,53,1.90,53,2.17,53,0.97
M,216,Onomah,4.3,4.3,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,217,Robinson,4.4,4.4,Fulham,85,2.54,79,2.79,79,2.02,78,2.71,76,2.74,76,2.59,77,2.98,74,1.27
F,218,Muniz,5.4,5.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,219,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,220,Palhinha,4.9,4.9,Fulham,86,2.58,84,2.89,82,2.42,81,4.37,78,2.75,80,2.56,76,2.56,73,1.96
D,221,Cooper,4.4,4.4,Leeds,20,0.47,19,0.59,15,0.55,10,0.32,11,0.19,10,0.28,12,0.34,13,0.37
D,222,Ayling,4.5,4.5,Leeds,82,2.00,80,2.59,76,3.00,73,2.51,72,1.14,73,2.07,69,2.08,70,2.13
M,223,Klich,4.6,4.6,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,224,Forshaw,4.4,4.4,Leeds,13,0.56,13,0.56,17,0.77,18,0.77,18,0.70,20,0.82,20,0.83,17,0.75
M,225,Rodrigo,6.3,6.3,Leeds,48,2.48,45,2.50,48,3.14,46,2.65,45,1.85,46,2.29,42,2.23,42,2.35
D,226,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00,0,0.00,2,0.07,8,0.16,11,0.35,12,0.39,13,0.42
F,227,Bamford,7.1,7.1,Leeds,70,3.53,67,3.57,65,4.11,62,3.39,60,2.39,58,2.82,62,3.10,60,3.18
D,228,Llorente,4.4,4.4,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,229,Roberts,5.0,5.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,230,Koch,4.5,4.5,Leeds,87,1.86,82,2.43,78,2.75,77,2.39,75,1.18,74,1.95,74,2.08,74,2.05
M,231,James,5.9,5.9,Fulham,11,0.57,10,0.63,14,0.72,16,1.57,16,0.99,10,0.55,11,0.63,12,0.55
M,232,Raphinha,7.0,7.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,233,Harrison,5.7,5.7,Leeds,71,2.84,66,2.84,68,3.34,65,2.86,63,2.14,61,2.46,62,2.57,61,2.62
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,73,1.81,60,1.96,42,1.65,34,1.24,37,0.74,39,1.19,35,1.13,37,1.19
G,236,Klaesson,3.8,3.8,Leeds,0,0.01,0,0.00,0,0.00,1,0.03,0,0.01,0,0.01,0,0.01,1,0.05
F,237,Greenwood,4.0,4.0,Leeds,6,0.28,10,0.47,10,0.50,14,0.61,12,0.51,14,0.62,14,0.62,16,0.70
G,238,Meslier,4.5,4.5,Leeds,88,3.18,89,3.42,87,3.54,87,3.40,86,3.07,85,3.17,86,3.27,85,3.16
D,239,Firpo,4.5,4.5,Leeds,82,1.91,74,2.39,70,2.71,66,2.23,62,1.09,60,1.73,62,1.90,60,1.85
M,240,Summerville,4.2,4.2,Leeds,25,1.27,23,1.26,26,1.54,26,1.40,28,1.19,29,1.36,27,1.32,30,1.49
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,242,Gelhardt,5.1,5.1,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,243,Hjelde,3.9,3.9,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,244,Kristensen,4.7,4.7,Leeds,12,0.32,15,0.51,18,0.72,21,0.79,22,0.46,21,0.66,24,0.82,22,0.75
M,245,Roca,4.8,4.8,Leeds,78,2.42,75,2.46,73,2.66,71,2.38,71,1.94,68,2.16,68,2.21,66,2.19
M,246,Aaronson,5.3,5.3,Leeds,47,1.99,44,2.01,43,2.20,44,2.01,46,1.65,45,1.87,43,1.86,44,1.94
M,247,Gyabi,4.2,4.2,Leeds,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00,1,0.04
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,249,Evans,4.4,4.4,Leicester,16,0.31,29,1.10,39,1.05,43,1.57,41,1.19,39,0.88,42,0.80,39,1.34
D,250,Bertrand,3.9,3.9,Leicester,0,0.00,1,0.03,1,0.02,2,0.07,2,0.07,2,0.06,2,0.06,2,0.07
M,251,Albrighton,4.7,4.7,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,252,Mendy,4.3,4.3,Leicester,25,0.88,24,0.94,25,0.94,23,0.91,22,0.84,22,0.83,23,0.85,23,0.90
D,253,Vestergaard,3.8,3.8,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.02
G,254,Ward,3.9,3.9,Leicester,6,0.23,6,0.26,8,0.30,8,0.32,10,0.37,9,0.32,13,0.45,10,0.42
F,255,Vardy,9.1,9.1,Leicester,50,2.08,45,2.66,45,2.51,46,2.66,44,2.44,43,2.29,44,1.94,43,2.51
D,256,Ricardo,4.3,4.3,Leicester,46,0.93,45,2.13,47,1.65,44,2.06,45,1.67,47,1.38,45,1.15,45,1.96
D,257,Amartey,4.0,4.0,Leicester,25,0.46,22,0.83,23,0.64,24,0.91,30,0.92,30,0.72,31,0.63,30,1.08
D,258,Castagne,4.4,4.4,Leicester,73,1.15,71,2.81,71,2.04,69,2.75,65,2.04,65,1.53,67,1.34,68,2.52
M,259,Tielemans,6.1,6.1,Leicester,2,0.06,7,0.33,25,1.03,45,1.81,55,2.04,54,1.94,54,1.73,54,2.15
M,260,Pérez,4.7,4.7,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,261,Maddison,8.2,8.1,Leicester,84,2.96,81,4.42,79,3.88,77,4.19,75,3.73,77,3.49,75,2.86,73,3.96
F,262,Iheanacho,6.0,6.0,Leicester,27,1.29,29,1.84,27,1.65,29,1.79,30,1.76,29,1.62,29,1.41,31,1.93
M,263,Choudhury,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,264,Barnes,6.7,6.7,Leicester,58,2.08,73,3.72,73,3.39,69,3.53,70,3.29,68,3.02,67,2.54,66,3.36
M,265,Ndidi,4.8,4.8,Leicester,70,1.74,66,2.04,63,1.84,59,1.86,58,1.74,56,1.61,56,1.52,56,1.74
M,266,Dewsbury-Hall,4.9,4.9,Leicester,78,2.17,74,2.74,72,2.51,68,2.58,67,2.44,65,2.24,64,2.01,64,2.43
D,267,Söyüncü,4.2,4.2,Leicester,2,0.06,1,0.07,2,0.06,2,0.08,3,0.12,4,0.11,3,0.09,3,0.12
D,268,Justin,4.1,4.1,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,269,Soumaré,4.4,4.4,Leicester,34,1.13,32,1.26,26,1.00,25,1.01,24,0.95,24,0.94,24,0.90,27,1.06
D,270,Thomas,3.9,3.9,Leicester,4,0.09,5,0.20,5,0.17,6,0.25,7,0.24,7,0.21,8,0.22,11,0.40
F,271,Daka,5.6,5.6,Leicester,37,1.60,38,2.24,36,2.00,35,2.06,33,1.86,37,1.93,38,1.70,37,2.18
D,272,W.Fofana,4.3,4.3,Chelsea,68,2.19,0,0.00,72,3.24,67,1.52,64,2.70,65,3.36,64,2.99,63,2.28
D,273,Brunt,3.9,3.9,Leicester,0,0.00,0,0.01,0,0.01,0,0.00,0,0.01,1,0.01,1,0.01,0,0.01
M,274,Milner,4.4,4.4,Liverpool,9,0.48,11,0.67,13,0.64,18,1.94,17,0.91,16,0.83,13,0.73,13,0.70
M,275,Henderson,5.3,5.3,Liverpool,67,2.47,61,2.63,60,2.20,62,4.84,59,2.33,57,2.18,55,2.19,53,2.12
D,276,Matip,5.9,5.9,Liverpool,9,0.34,10,0.49,16,0.60,14,1.17,16,0.71,18,0.71,18,0.80,19,0.84
M,277,Thiago,5.1,5.1,Liverpool,54,1.94,69,2.75,69,2.34,64,4.72,62,2.32,63,2.25,62,2.32,64,2.38
M,278,Chamberlain,4.9,4.9,Liverpool,3,0.25,5,0.37,4,0.28,4,0.60,4,0.27,4,0.31,5,0.36,6,0.41
F,279,Firmino,8.0,8.0,Liverpool,24,1.54,24,1.77,25,1.49,23,3.13,24,1.62,21,1.47,24,1.56,22,1.51
D,280,Van Dijk,6.5,6.5,Liverpool,87,3.38,84,4.47,81,3.21,81,7.15,79,3.64,78,3.08,76,3.43,77,3.48
G,281,Alisson,5.4,5.4,Liverpool,89,3.77,88,4.34,86,3.71,86,7.67,86,3.90,86,3.65,86,3.85,84,3.80
M,282,Fabinho,5.2,5.2,Liverpool,68,2.18,66,2.43,61,1.95,59,4.04,61,2.10,58,1.91,59,2.04,59,2.04
M,283,Salah,12.8,12.8,Liverpool,83,6.21,80,7.31,79,5.43,76,12.35,74,6.00,76,5.84,74,6.00,75,5.90
D,284,Robertson,6.8,6.8,Liverpool,79,3.59,77,4.74,75,3.42,74,7.58,72,3.81,73,3.35,75,3.89,73,3.82
D,285,Alexander-Arnold,7.3,7.3,Liverpool,84,4.34,80,5.65,79,4.05,76,9.04,75,4.59,77,4.10,77,4.54,74,4.44
D,286,Gomez,4.3,4.3,Liverpool,7,0.26,15,0.71,15,0.55,19,1.57,20,0.82,21,0.76,21,0.86,25,1.08
M,287,Keita,4.7,4.7,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,4,0.19,15,0.77,18,0.96,24,1.24
F,288,Diogo Jota,8.7,8.7,Liverpool,41,2.38,42,2.81,40,2.19,35,4.40,35,2.19,31,1.96,32,2.15,31,1.91
G,289,Kelleher,4.0,4.0,Liverpool,1,0.03,2,0.09,4,0.15,3,0.30,4,0.16,3,0.14,3,0.14,6,0.25
D,290,Konaté,4.8,4.8,Liverpool,82,2.91,78,3.86,76,2.75,74,6.01,73,3.06,72,2.60,72,2.91,68,2.83
M,291,Jones,4.9,4.9,Liverpool,2,0.13,2,0.14,2,0.13,2,0.37,3,0.20,2,0.15,2,0.18,2,0.13
D,292,Tsimikas,4.3,4.3,Liverpool,12,0.59,14,0.84,15,0.71,16,1.63,18,0.94,16,0.77,14,0.76,16,0.86
M,293,Luis Díaz,7.8,7.8,Liverpool,3,0.21,9,0.68,21,1.28,31,4.14,39,2.55,46,2.74,46,2.89,45,2.75
M,294,Elliott,4.8,4.8,Liverpool,46,2.07,38,2.06,37,1.67,39,3.87,36,1.79,33,1.62,34,1.70,33,1.63
D,295,N.Williams,3.8,3.8,Nott'm Forest,74,1.90,48,0.88,23,0.69,28,0.86,28,1.28,28,0.70,27,0.66,27,0.97
M,296,Carvalho,5.1,5.1,Liverpool,2,0.18,3,0.27,3,0.26,3,0.56,5,0.39,4,0.34,4,0.32,3,0.29
F,297,Darwin,8.7,8.7,Liverpool,65,4.33,59,4.67,55,3.41,55,7.86,51,3.70,52,3.65,51,3.67,53,3.71
D,298,Ramsay,3.9,3.9,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,299,Walker,4.7,4.7,Man City,37,1.96,0,0.00,38,1.50,37,3.79,36,1.88,36,1.86,36,3.05,37,1.70
M,300,Gündogan,7.3,7.3,Man City,62,3.71,0,0.00,63,2.81,59,6.29,61,3.56,58,3.00,58,5.31,57,2.79
M,301,De Bruyne,12.1,12.1,Man City,76,5.96,0,0.00,69,3.93,67,9.37,64,5.12,63,4.21,65,7.70,66,4.24
D,302,Stones,5.4,5.4,Man City,62,3.32,0,0.00,58,2.27,58,6.03,56,3.01,56,2.89,56,4.75,57,2.69
M,303,Mahrez,7.3,7.3,Man City,61,4.74,0,0.00,55,3.14,53,7.40,51,4.01,48,3.27,48,5.78,49,3.14
M,304,Sterling,9.7,9.7,Chelsea,54,2.82,0,0.00,54,3.32,57,2.42,52,3.05,53,3.63,50,4.47,51,2.69
M,305,Grealish,7.0,7.0,Man City,79,5.11,0,0.00,72,3.45,67,7.90,64,4.16,63,3.56,65,6.37,61,3.28
D,306,Cancelo,7.1,7.1,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,307,Ederson,5.4,5.4,Man City,89,4.26,0,0.00,88,3.66,88,8.36,87,4.18,85,4.19,86,7.29,86,3.86
D,308,Aké,5.1,5.1,Man City,60,3.23,0,0.00,59,2.25,56,5.73,54,2.88,54,2.77,55,4.53,56,2.57
D,309,Laporte,5.7,5.7,Man City,29,1.65,0,0.00,31,1.30,40,4.31,37,2.06,39,2.09,39,3.39,36,1.75
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,311,Bernardo,6.7,6.7,Man City,53,3.02,0,0.00,51,2.22,48,5.02,47,2.56,51,2.48,49,4.19,51,2.34
D,312,Dias,6.0,6.0,Man City,67,3.59,0,0.00,66,2.58,63,6.52,64,3.46,63,3.22,64,5.34,65,3.01
D,313,Zinchenko,5.2,5.2,Arsenal,80,4.04,77,4.80,75,2.27,73,3.65,69,2.80,70,3.41,73,4.12,71,4.21
M,314,Foden,8.0,8.0,Man City,0,0.00,0,0.00,23,1.42,42,5.98,54,4.14,54,3.59,54,6.43,55,3.49
M,315,Rodri,5.6,5.6,Man City,81,3.66,0,0.00,81,2.82,78,6.44,76,3.37,77,3.09,77,5.48,76,2.86
M,316,Palmer,4.2,4.2,Man City,7,0.48,0,0.00,9,0.48,8,1.01,8,0.54,8,0.49,8,0.86,8,0.46
M,317,McAtee,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,318,Haaland,12.2,12.2,Man City,79,7.86,0,0.00,75,4.98,73,12.27,71,6.70,71,5.44,71,9.63,71,5.24
F,319,Álvarez,6.0,6.0,Man City,43,2.30,0,0.00,42,1.82,41,4.14,40,2.17,41,2.00,40,3.56,40,1.88
D,320,Mbete,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,321,Lavia,4.5,4.5,Southampton,60,1.76,73,1.75,76,2.20,71,1.77,70,2.00,71,2.06,70,1.76,70,1.80
D,322,Wilson-Esbrand,3.8,3.8,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,323,Delap,4.4,4.4,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,324,Ortega,3.8,3.8,Man City,1,0.05,0,0.00,2,0.07,2,0.21,3,0.13,5,0.24,4,0.32,4,0.17
M,325,Phillips,4.8,4.8,Man City,14,0.64,0,0.00,17,0.63,15,1.30,17,0.75,17,0.72,15,1.17,18,0.71
F,326,Ronaldo,10.2,10.2,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,327,De Gea,5.0,5.0,Man Utd,88,3.96,0,0.00,88,3.43,88,7.33,87,3.76,86,4.11,85,7.41,86,4.02
D,328,Jones,3.8,3.8,Man Utd,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01
D,329,Varane,4.8,4.8,Man Utd,82,3.67,0,0.00,75,2.44,76,5.75,72,2.91,75,3.73,71,5.96,68,3.39
D,330,Maguire,4.7,4.7,Man Utd,9,0.37,0,0.00,18,0.58,17,1.25,22,0.88,15,0.72,21,1.75,22,1.07
M,331,Fred,5.1,5.1,Man Utd,18,0.86,0,0.00,16,0.73,17,1.59,18,0.83,20,0.96,17,1.63,18,0.91
D,332,Shaw,5.1,5.1,Man Utd,6,0.28,0,0.00,42,1.51,58,4.77,74,3.23,72,3.98,73,6.65,72,4.00
M,333,Fernandes,9.6,9.6,Man Utd,85,5.48,0,0.00,78,4.10,76,8.91,77,4.39,77,5.13,77,9.12,74,5.38
D,334,Telles,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,335,Rashford,7.2,7.2,Man Utd,0,0.00,0,0.00,0,0.00,31,4.84,15,1.08,45,3.58,69,9.69,73,6.23
M,336,Van de Beek,5.1,5.1,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,337,Lindelöf,4.1,4.1,Man Utd,6,0.26,0,0.00,9,0.29,11,0.75,11,0.41,14,0.64,13,0.99,15,0.68
M,338,McTominay,4.9,4.9,Man Utd,15,0.67,0,0.00,19,0.74,20,1.61,22,0.88,20,0.87,21,1.69,21,0.92
D,339,Bailly,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,340,Sancho,7.1,7.1,Man Utd,64,4.02,0,0.00,48,2.64,45,5.45,39,2.33,38,2.57,35,4.39,37,2.62
D,341,Wan-Bissaka,4.3,4.3,Man Utd,37,1.71,0,0.00,34,1.13,34,2.62,34,1.40,34,1.70,33,2.78,37,1.85
D,342,Dalot,4.7,4.7,Man Utd,56,2.63,0,0.00,56,1.88,55,4.26,54,2.24,54,2.75,53,4.57,49,2.49
D,343,B.Williams,3.8,3.8,Man Utd,5,0.23,0,0.00,4,0.15,4,0.30,2,0.07,2,0.08,2,0.18,4,0.16
M,344,Elanga,4.6,4.6,Man Utd,2,0.19,0,0.00,1,0.12,2,0.29,2,0.16,2,0.17,1,0.22,1,0.09
F,345,Martial,6.3,6.3,Man Utd,58,3.78,0,0.00,53,2.97,50,6.12,50,2.97,48,3.21,47,5.73,46,3.26
M,346,Andreas,4.3,4.3,Fulham,79,3.42,76,4.11,72,3.12,64,4.99,73,4.03,69,3.25,71,3.51,72,2.58
M,347,Pellistri,4.3,4.3,Man Utd,12,0.75,0,0.00,9,0.55,8,1.12,7,0.48,5,0.41,5,0.74,5,0.42
G,348,Heaton,3.8,3.8,Man Utd,0,0.00,0,0.00,0,0.01,0,0.02,1,0.03,1,0.03,0,0.03,1,0.03
M,349,Shelvey,4.8,4.8,Nott'm Forest,43,1.50,37,1.23,35,1.27,36,1.27,34,1.41,32,1.09,34,1.15,36,1.30
D,350,Ritchie,4.2,4.2,Newcastle,1,0.06,3,0.12,3,0.11,3,0.16,3,0.13,2,0.18,3,0.14,3,0.10
D,351,Fernández,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,352,Clark,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,353,Darlow,3.9,3.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,354,Wood,5.6,5.6,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,355,Dubravka,4.1,4.1,Newcastle,0,0.02,3,0.12,3,0.13,3,0.14,2,0.10,3,0.23,4,0.20,3,0.14
F,356,Wilson,6.9,6.9,Newcastle,65,3.75,57,3.56,57,3.28,53,4.00,48,2.81,48,5.81,47,3.73,41,2.23
D,357,Trippier,6.2,6.1,Newcastle,86,3.96,84,4.09,80,4.05,78,5.02,75,2.98,75,6.82,75,4.66,73,2.76
D,358,Burn,4.5,4.5,Newcastle,85,3.36,80,3.40,79,3.54,77,4.28,76,2.66,78,6.08,76,4.02,77,2.59
M,359,Fraser,5.2,5.2,Newcastle,6,0.42,7,0.45,7,0.45,6,0.47,5,0.37,4,0.60,5,0.40,4,0.27
D,360,Lascelles,4.3,4.3,Newcastle,6,0.24,9,0.35,14,0.58,14,0.68,16,0.55,15,1.06,13,0.59,15,0.50
F,361,Gayle,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,362,Dummett,3.9,3.9,Newcastle,0,0.02,1,0.03,1,0.06,2,0.09,2,0.09,1,0.11,2,0.09,1,0.05
D,363,Manquillo,4.2,4.2,Newcastle,3,0.12,5,0.18,7,0.29,9,0.46,8,0.29,7,0.54,7,0.36,8,0.28
D,364,Krafth,4.3,4.3,Newcastle,0,0.00,0,0.00,1,0.03,1,0.04,5,0.16,9,0.62,9,0.38,10,0.31
M,365,Murphy,4.1,4.1,Newcastle,38,1.86,32,1.66,32,1.63,30,1.82,25,1.28,20,2.10,18,1.16,19,0.97
D,366,Schär,5.1,5.1,Newcastle,85,3.63,82,3.68,79,3.74,75,4.47,73,2.70,75,6.37,73,4.22,74,2.67
D,367,Targett,4.7,4.7,Newcastle,11,0.42,16,0.72,18,0.84,21,1.19,22,0.88,20,1.71,23,1.30,23,0.88
M,368,Saint-Maximin,6.1,6.1,Newcastle,14,0.79,34,1.91,50,2.66,55,3.63,54,2.77,53,5.66,53,3.61,52,2.47
M,369,Almirón,5.4,5.4,Newcastle,0,0.00,0,0.00,0,0.00,8,0.50,28,1.35,52,4.64,60,3.53,60,2.50
M,370,S.Longstaff,4.3,4.3,Newcastle,71,2.54,66,2.47,64,2.35,65,2.80,65,2.29,63,4.43,63,2.76,63,2.10
M,371,Joelinton,5.9,5.9,Newcastle,71,2.90,69,2.80,66,2.59,65,3.16,63,2.35,60,4.56,57,2.80,58,2.02
D,372,Lewis,4.4,4.4,Newcastle,1,0.02,1,0.05,2,0.07,2,0.09,4,0.14,3,0.23,4,0.19,3,0.11
M,373,Willock,4.7,4.7,Newcastle,58,2.64,53,2.56,54,2.52,52,2.92,52,2.32,50,4.55,52,2.98,53,2.17
M,374,Bruno Guimarães,5.5,5.5,Newcastle,84,2.93,81,2.98,81,2.89,79,3.42,79,2.69,76,5.26,74,3.26,74,2.38
M,375,Hendrick,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,376,Pope,5.4,5.4,Newcastle,89,3.89,87,3.83,87,3.99,87,4.35,86,3.68,87,7.17,86,4.22,86,3.48
D,377,Botman,4.5,4.5,Newcastle,84,3.41,81,3.49,78,3.57,78,4.34,76,2.68,76,6.06,75,3.97,74,2.53
M,378,Arter,4.1,4.1,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,379,Cook,4.3,4.3,Nott'm Forest,2,0.06,2,0.06,3,0.10,4,0.13,5,0.22,4,0.12,5,0.13,5,0.17
F,380,Lyle Taylor,4.1,4.1,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.01,0,0.01,0,0.02
M,381,Colback,4.1,4.1,Nott'm Forest,5,0.25,3,0.16,3,0.16,4,0.20,4,0.20,4,0.20,5,0.21,6,0.28
G,382,Samba,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,383,Cafú,4.2,4.2,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
M,384,Lolley,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,385,McKenna,4.4,4.4,Nott'm Forest,34,0.82,31,0.58,34,0.85,30,0.78,31,1.23,34,0.70,33,0.67,30,0.92
D,386,Dräger,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,387,Yates,5.0,5.0,Nott'm Forest,26,0.90,44,1.36,48,1.62,48,1.60,47,1.85,50,1.54,49,1.53,46,1.57
D,388,Worrall,4.2,4.2,Nott'm Forest,21,0.50,19,0.38,17,0.42,19,0.49,23,0.91,23,0.48,21,0.44,23,0.69
D,389,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,390,Xande Silva,5.0,5.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,391,Surridge,4.6,4.6,Nott'm Forest,3,0.20,2,0.18,2,0.16,3,0.20,3,0.27,4,0.27,4,0.28,4,0.29
D,392,Laryea,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,393,Mbe Soh,4.2,4.2,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,394,Johnson,5.7,5.7,Nott'm Forest,84,3.27,79,2.78,79,3.07,76,2.92,78,3.79,76,2.61,76,2.67,74,2.89
M,395,Mighten,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,396,Ojeda,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,397,Awoniyi,5.6,5.6,Nott'm Forest,39,2.00,36,1.64,33,1.72,33,1.65,30,1.90,33,1.50,31,1.47,33,1.67
G,398,Henderson,4.6,4.6,Nott'm Forest,0,0.00,4,0.14,11,0.43,13,0.51,27,1.18,27,0.97,33,1.18,33,1.30
D,399,Biancone,4.2,4.2,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,400,Walcott,4.8,4.8,Southampton,54,2.58,48,1.77,48,2.45,46,1.78,46,2.15,47,2.33,44,1.75,43,1.86
G,401,McCarthy,4.3,4.3,Southampton,2,0.10,3,0.12,5,0.19,4,0.14,8,0.34,9,0.39,7,0.24,7,0.26
M,402,Romeu,4.8,4.8,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,403,Redmond,5.3,5.3,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,404,Stephens,4.3,4.3,Bournemouth,85,1.59,82,2.74,0,0.00,77,2.53,77,1.98,76,2.22,76,1.59,73,2.09
